aso,brand,capacity,color,condition,features,first_owner,fuel_type,horse_power,mileage,model,no_accidents,number_of_doors,origin_country,price,price_currency,transmission,type,url,version,year
Tak,MINI,1 998 cm3,Inny kolor,Używane,"ABS,Alufelgi,CD,Czujnik zmierzchu,ESP (stabilizacja toru jazdy),Elektrycznie ustawiane lusterka,Immobilizer,Klimatyzacja automatyczna,Kurtyny powietrzne,Nawigacja GPS,Podgrzewane przednie siedzenia,Poduszki boczne przednie,System Start-Stop,Światła przeciwmgielne,Wielofunkcyjna kierownica,ASR (kontrola trakcji),Asystent parkowania,Centralny zamek,Czujniki parkowania przednie,Elektryczne szyby przednie,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,Łopatki zmiany biegów,Ogranicznik prędkości,Poduszka powietrzna kierowcy,Przyciemniane szyby,Światła LED,Tapicerka skórzana,Wspomaganie kierownicy,Alarm,Bluetooth,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo USB,Kamera cofania,Komputer pokładowy,MP3,Podgrzewane lusterka boczne,Poduszka powietrzna pasażera,Radio fabryczne,Światła do jazdy dziennej,Tempomat",Tak,Benzyna,192 KM,34 287 km,Cooper S,Tak,5,Polska,109900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-cooper-s-mini-hatch-5dr-cooper-s-2-0-aut-salon-pl-aso-gwarancja-12-mc-fv23-ID6Edbex.html,,2018
Tak,MINI,1 998 cm3,Niebieski,Używane,"ABS,Światła przeciwmgielne,Tapicerka skórzana,Nawigacja GPS,Kamera cofania,Poduszki boczne przednie,Bluetooth,Tempomat,Przyciemniane szyby,Gniazdo USB,Radio fabryczne,Elektrycznie ustawiane lusterka,Podgrzewane przednie siedzenia,Wielofunkcyjna kierownica,Czujnik deszczu,Kurtyny powietrzne,Alufelgi,CD,Elektrochromatyczne lusterko wsteczne,Komputer pokładowy,Elektryczne szyby przednie,Centralny zamek,ESP (stabilizacja toru jazdy),Isofix,Bluetooth,Światła do jazdy dziennej,Wielofunkcyjna kierownica,Relingi dachowe,Klimatyzacja automatyczna,System Start-Stop,Klimatyzacja dwustrefowa,Elektryczne szyby tylne,Immobilizer",,Benzyna,192 KM,45 684 km,Clubman,Tak,5,,91900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-clubman-2-0-192km-pol-skora-bt-czujniki-parkowania-kamera-cofania-s-s-usb-ID6E9U3B.html,,2018
Tak,MINI,1 998 cm3,Niebieski,Używane,"ABS,Światła przeciwmgielne,Tapicerka skórzana,Nawigacja GPS,Kamera cofania,Poduszki boczne przednie,Bluetooth,Tempomat,Przyciemniane szyby,Gniazdo USB,Radio fabryczne,Elektrycznie ustawiane lusterka,Podgrzewane przednie siedzenia,Wielofunkcyjna kierownica,Czujnik deszczu,Kurtyny powietrzne,Alufelgi,CD,Elektrochromatyczne lusterko wsteczne,Komputer pokładowy,Elektryczne szyby przednie,Centralny zamek,ESP (stabilizacja toru jazdy),Isofix,Bluetooth,Światła do jazdy dziennej,Wielofunkcyjna kierownica,Relingi dachowe,Klimatyzacja automatyczna,System Start-Stop,Klimatyzacja dwustrefowa,Elektryczne szyby tylne,Immobilizer",,Benzyna,192 KM,45 684 km,Clubman,Tak,5,,91900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-clubman-2-0-192km-pol-skora-bt-czujniki-parkowania-kamera-cofania-s-s-usb-ID6E9U3B.html,,2018
,MINI,1 598 cm3,Niebieski,Używane,"ABS,CD,Czujnik zmierzchu,Klimatyzacja manualna,Podgrzewane przednie siedzenia,Wspomaganie kierownicy,Alarm,Centralny zamek,Dach panoramiczny,Podgrzewana przednia szyba,Radio fabryczne,Światła Xenonowe,Alufelgi,Czujnik deszczu,Elektryczne szyby przednie,Podgrzewane lusterka boczne,Przyciemniane szyby",,Benzyna,174 KM,232 000 km,Cooper S,,3,,22500,PLN,Manualna,,https://www.otomoto.pl/oferta/mini-cooper-s-mini-cooper-turbo-s-zadbany-garazowany-r56-polift-lift-panorama-xenon-ID6EmhRs.html,,2010
Tak,MINI,1 998 cm3,Niebieski,Używane,"ABS,Światła przeciwmgielne,Tapicerka skórzana,Nawigacja GPS,Kamera cofania,Poduszki boczne przednie,Bluetooth,Tempomat,Przyciemniane szyby,Gniazdo USB,Radio fabryczne,Elektrycznie ustawiane lusterka,Podgrzewane przednie siedzenia,Wielofunkcyjna kierownica,Czujnik deszczu,Kurtyny powietrzne,Alufelgi,CD,Elektrochromatyczne lusterko wsteczne,Komputer pokładowy,Elektryczne szyby przednie,Centralny zamek,ESP (stabilizacja toru jazdy),Isofix,Bluetooth,Światła do jazdy dziennej,Wielofunkcyjna kierownica,Relingi dachowe,Klimatyzacja automatyczna,System Start-Stop,Klimatyzacja dwustrefowa,Elektryczne szyby tylne,Immobilizer",,Benzyna,192 KM,45 684 km,Clubman,Tak,5,,91900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-clubman-2-0-192km-pol-skora-bt-czujniki-parkowania-kamera-cofania-s-s-usb-ID6E9U3B.html,,2018
,MINI,1 600 cm3,Czerwony,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujnik deszczu,Klimatyzacja manualna,Poduszki boczne przednie,Światła do jazdy dziennej,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,ESP (stabilizacja toru jazdy),Komputer pokładowy,Przyciemniane szyby,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Isofix,Kurtyny powietrzne,System Start-Stop,Tapicerka welurowa",,Diesel,112 KM,174 757 km,Clubman,,5,Francja,24800,PLN,Manualna,,https://www.otomoto.pl/oferta/mini-clubman-ladny-mini-diesel-polecam-ID6Elw5i.html,,2010
Tak,MINI,1 995 cm3,Szary,Używane,"ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Podgrzewane lusterka boczne,Poduszki boczne tylne,Relingi dachowe,Światła LED,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,Kurtyny powietrzne,Ogranicznik prędkości,Podgrzewane przednie siedzenia,Przyciemniane szyby,System Start-Stop,Światła przeciwmgielne,Wielofunkcyjna kierownica,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Isofix,Klimatyzacja manualna,MP3,Ogrzewanie postojowe,Poduszki boczne przednie,Regulowane zawieszenie,Światła do jazdy dziennej,Tapicerka skórzana",,Diesel,190 KM,68 700 km,Clubman,Tak,5,,82000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-clubman-bmw-mini-clubman-cooper-sd-pelne-wyposazenie-polski-salon-bezwypadkowy-ID6EmhZs.html,Cooper SD sport,2016
Tak,MINI,1 995 cm3,Szary,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszki boczne tylne,Światła do jazdy dziennej,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Isofix,Klimatyzacja manualna,MP3,Podgrzewane przednie siedzenia,Przyciemniane szyby,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Poduszki boczne przednie,Relingi dachowe,Tapicerka skórzana",Tak,Diesel,143 KM,209 700 km,Countryman,Tak,5,Niemcy,39500,PLN,Manualna,,https://www.otomoto.pl/oferta/mini-countryman-2-0sd-141km-nawi-youtube-google-kamera-polskora-panorama-4x4-ID6ElXNt.html,Cooper SD All4,2012
Tak,MINI,1 598 cm3,Brązowy,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja manualna,MP3,Poduszki boczne przednie,Światła do jazdy dziennej,Światła Xenonowe,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Podgrzewane lusterka boczne,Relingi dachowe,Światła LED,Tapicerka skórzana,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Poduszka powietrzna chroniąca kolana,System Start-Stop,Światła przeciwmgielne,Tapicerka welurowa",,Diesel,112 KM,208 234 km,Countryman,Tak,5,,29800,PLN,Manualna,,https://www.otomoto.pl/oferta/mini-countryman-cooper-1-6-super-stan-bogaty-ksenony-monitor-2x-alufelgi-bezwypadkowy-ID6EmI5f.html,Cooper D,2010
,MINI,1 397 cm3,Biały,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Gniazdo AUX,Komputer pokładowy,Światła przeciwmgielne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Elektrochromatyczne lusterka boczne,Isofix,Kurtyny powietrzne,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,ESP (stabilizacja toru jazdy),Klimatyzacja manualna,Podgrzewane lusterka boczne",,Benzyna,95 KM,147 000 km,ONE,,3,Niemcy,16900,PLN,Manualna,,https://www.otomoto.pl/oferta/mini-one-lift-super-stan-zadbany-ID6Ejbbt.html,Standard,2009
,MINI,1 598 cm3,Czarny,Używane,"ABS,ASR (kontrola trakcji),Centralny zamek,Dach panoramiczny,ESP (stabilizacja toru jazdy),Isofix,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Poduszki boczne przednie,System Start-Stop,Światła LED,Światła Xenonowe,Wspomaganie kierownicy,Alarm,Bluetooth,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo USB,Klimatyzacja automatyczna,Nawigacja GPS,Poduszka powietrzna kierowcy,Przyciemniane szyby,Światła do jazdy dziennej,Światła przeciwmgielne,Tempomat,Alufelgi,CD,Czujnik zmierzchu,Elektryczne szyby przednie,Immobilizer,Komputer pokładowy,Podgrzewane lusterka boczne,Poduszka powietrzna pasażera,Radio fabryczne,Szyberdach,Tapicerka skórzana,Wielofunkcyjna kierownica",,Benzyna,122 KM,120 000 km,Cooper,,3,Polska,35000,PLN,Manualna,,https://www.otomoto.pl/oferta/mini-cooper-ID6EmSFh.html,Standard,2012
,MINI,1 560 cm3,Inny kolor,Używane,"ABS,Czujnik deszczu,Gniazdo AUX,Klimatyzacja manualna,Poduszka powietrzna pasażera,Światła przeciwmgielne,Tapicerka skórzana,Alufelgi,Centralny zamek,Isofix,Podgrzewana przednia szyba,Radio fabryczne,Światła Xenonowe,Wspomaganie kierownicy,CD,Elektryczne szyby przednie,Klimatyzacja dwustrefowa,Poduszka powietrzna kierowcy,System Start-Stop,Światła do jazdy dziennej",,Diesel,110 KM,175 331 km,Cooper,,3,Niemcy,16500,PLN,Manualna,,https://www.otomoto.pl/oferta/mini-cooper-mini-cooper-d-ID6EmWeO.html,D,2008
,,,,,,,,,,,,,,,,,,"https://carsmile.pl/oferta/peugeot/208/hatchback-leasing-wynajem-dlugoterminowy?code=146815-5&amp;finance_type=rent&amp;contract_period=36&amp;utm_source=otomoto&amp;utm_medium=native&amp;utm_campaign=listing&amp;utm_content=ad_block&amp;utm_campaign_id=3&amp;utm_term=peugeot-208-hatchback,,,,,,,,,,,,,,,,,&amp;utm_campaign_id=1-16",,
Tak,MINI,1 598 cm3,Czarny,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujniki parkowania przednie,ESP (stabilizacja toru jazdy),Isofix,Kurtyny powietrzne,Nawigacja GPS,System Start-Stop,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Czujniki parkowania tylne,Gniazdo AUX,Klimatyzacja automatyczna,Łopatki zmiany biegów,Podgrzewane przednie siedzenia,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Elektryczne szyby tylne,Gniazdo USB,Komputer pokładowy,MP3,Poduszka powietrzna chroniąca kolana",Tak,Benzyna,190 KM,60 900 km,Countryman,Tak,5,Polska,93900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-countryman-s-all4-serwis-aso-salon-pl-ID6EdkVy.html,Cooper S All4,2016
Tak,MINI,1 998 cm3,Szary,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna pasażera,Asystent parkowania,Czujniki parkowania przednie,Elektryczne szyby tylne,Kamera cofania,Komputer pokładowy,Światła Xenonowe,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania tylne,Gniazdo USB,Klimatyzacja dwustrefowa,Nawigacja GPS,Tapicerka skórzana,Centralny zamek,Poduszka powietrzna kierowcy,Alufelgi,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Isofix,Klimatyzacja manualna,Podgrzewane przednie siedzenia,Tempomat",Tak,Benzyna,192 KM,44 885 km,Cooper S,Tak,5,Polska,82999,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-cooper-s-mini-cooper-s-zadbany-od-kobiety-ID6DUN4z.html,sport,2016
,MINI,1 499 cm3,Zielony,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Kamera cofania,Klimatyzacja dwustrefowa,MP3,Ogrzewanie postojowe,Podgrzewane przednie siedzenia,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo SD,Klimatyzacja automatyczna,Komputer pokładowy,Nawigacja GPS,Podgrzewana przednia szyba,Relingi dachowe,Światła LED,Tapicerka welurowa,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Isofix,Klimatyzacja czterostrefowa,Kurtyny powietrzne,Ogranicznik prędkości,Podgrzewane lusterka boczne,System Start-Stop,Światła przeciwmgielne,Tempomat",,Benzyna,136 KM,5 km,Countryman,Tak,5,,149900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-all4-dostepny-od-reki-bogate-wyposazenie-mini-m-cars-ID6EmXwv.html,Cooper All4,2021
,,,,,,,,,,,,,,,,,,"https://carsmile.pl/oferta/peugeot/208/hatchback-leasing-wynajem-dlugoterminowy?code=146815-5&amp;finance_type=rent&amp;contract_period=36&amp;utm_source=otomoto&amp;utm_medium=native&amp;utm_campaign=listing&amp;utm_content=ad_block&amp;utm_campaign_id=3&amp;utm_term=peugeot-208-hatchback,,,,,,,,,,,,,,,,,&amp;utm_campaign_id=1-16",,
,MINI,1 499 cm3,Zielony,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Kamera cofania,Klimatyzacja dwustrefowa,MP3,Ogrzewanie postojowe,Podgrzewane przednie siedzenia,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo SD,Klimatyzacja automatyczna,Komputer pokładowy,Nawigacja GPS,Podgrzewana przednia szyba,Relingi dachowe,Światła LED,Tapicerka welurowa,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Isofix,Klimatyzacja czterostrefowa,Kurtyny powietrzne,Ogranicznik prędkości,Podgrzewane lusterka boczne,System Start-Stop,Światła przeciwmgielne,Tempomat",,Benzyna,136 KM,5 km,Countryman,Tak,5,,149900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-all4-dostepny-od-reki-bogate-wyposazenie-mini-m-cars-ID6EmXwv.html,Cooper All4,2021
,MINI,1 499 cm3,Zielony,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Kamera cofania,Klimatyzacja dwustrefowa,MP3,Ogrzewanie postojowe,Podgrzewane przednie siedzenia,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo SD,Klimatyzacja automatyczna,Komputer pokładowy,Nawigacja GPS,Podgrzewana przednia szyba,Relingi dachowe,Światła LED,Tapicerka welurowa,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Isofix,Klimatyzacja czterostrefowa,Kurtyny powietrzne,Ogranicznik prędkości,Podgrzewane lusterka boczne,System Start-Stop,Światła przeciwmgielne,Tempomat",,Benzyna,136 KM,5 km,Countryman,Tak,5,,149900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-all4-dostepny-od-reki-bogate-wyposazenie-mini-m-cars-ID6EmXwv.html,Cooper All4,2021
Tak,MINI,1 598 cm3,Czarny,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujniki parkowania przednie,ESP (stabilizacja toru jazdy),Isofix,Kurtyny powietrzne,Nawigacja GPS,System Start-Stop,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Czujniki parkowania tylne,Gniazdo AUX,Klimatyzacja automatyczna,Łopatki zmiany biegów,Podgrzewane przednie siedzenia,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Elektryczne szyby tylne,Gniazdo USB,Komputer pokładowy,MP3,Poduszka powietrzna chroniąca kolana",Tak,Benzyna,190 KM,60 900 km,Countryman,Tak,5,Polska,93900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-countryman-s-all4-serwis-aso-salon-pl-ID6EdkVy.html,Cooper S All4,2016
Tak,MINI,1 598 cm3,Czarny,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujniki parkowania przednie,ESP (stabilizacja toru jazdy),Isofix,Kurtyny powietrzne,Nawigacja GPS,System Start-Stop,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Czujniki parkowania tylne,Gniazdo AUX,Klimatyzacja automatyczna,Łopatki zmiany biegów,Podgrzewane przednie siedzenia,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Elektryczne szyby tylne,Gniazdo USB,Komputer pokładowy,MP3,Poduszka powietrzna chroniąca kolana",Tak,Benzyna,190 KM,60 900 km,Countryman,Tak,5,Polska,93900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-countryman-s-all4-serwis-aso-salon-pl-ID6EdkVy.html,Cooper S All4,2016
,MINI,1 499 cm3,Zielony,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo SD,Kamera cofania,Klimatyzacja dwustrefowa,Kurtyny powietrzne,Ogranicznik prędkości,Podgrzewane przednie siedzenia,Poduszki boczne tylne,Światła do jazdy dziennej,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja automatyczna,Klimatyzacja manualna,MP3,Podgrzewana przednia szyba,Poduszka powietrzna chroniąca kolana,Relingi dachowe,Światła LED,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Isofix,Klimatyzacja czterostrefowa,Komputer pokładowy,Nawigacja GPS,Podgrzewane lusterka boczne,Poduszki boczne przednie,System Start-Stop,Światła przeciwmgielne",,Benzyna,136 KM,5 km,Countryman,Tak,5,,144900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-all4-dostepny-od-reki-bogate-wyposazenie-mini-m-cars-ID6EmXFr.html,Cooper All4,2021
,MINI,1 499 cm3,Zielony,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo SD,Kamera cofania,Klimatyzacja dwustrefowa,Kurtyny powietrzne,Ogranicznik prędkości,Podgrzewane przednie siedzenia,Poduszki boczne tylne,Światła do jazdy dziennej,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja automatyczna,Klimatyzacja manualna,MP3,Podgrzewana przednia szyba,Poduszka powietrzna chroniąca kolana,Relingi dachowe,Światła LED,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Isofix,Klimatyzacja czterostrefowa,Komputer pokładowy,Nawigacja GPS,Podgrzewane lusterka boczne,Poduszki boczne przednie,System Start-Stop,Światła przeciwmgielne",,Benzyna,136 KM,5 km,Countryman,Tak,5,,144900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-all4-dostepny-od-reki-bogate-wyposazenie-mini-m-cars-ID6EmXFr.html,Cooper All4,2021
Tak,MINI,1 397 cm3,Szary,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Elektrochromatyczne lusterka boczne,Isofix,Komputer pokładowy,Podgrzewana przednia szyba,Poduszki boczne tylne,Tapicerka welurowa,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Elektrochromatyczne lusterko wsteczne,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,System Start-Stop,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Klimatyzacja manualna,MP3,Poduszki boczne przednie,Światła przeciwmgielne",,Benzyna,95 KM,182 400 km,ONE,Tak,3,Niemcy,14900,PLN,Manualna,,https://www.otomoto.pl/oferta/mini-one-klimatronik-2009-2010r-oryginalny-lakier-serwisowany-ID6En0i1.html,,2009
,MINI,1 499 cm3,Zielony,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo SD,Kamera cofania,Klimatyzacja dwustrefowa,Kurtyny powietrzne,Ogranicznik prędkości,Podgrzewane przednie siedzenia,Poduszki boczne tylne,Światła do jazdy dziennej,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja automatyczna,Klimatyzacja manualna,MP3,Podgrzewana przednia szyba,Poduszka powietrzna chroniąca kolana,Relingi dachowe,Światła LED,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Isofix,Klimatyzacja czterostrefowa,Komputer pokładowy,Nawigacja GPS,Podgrzewane lusterka boczne,Poduszki boczne przednie,System Start-Stop,Światła przeciwmgielne",,Benzyna,136 KM,5 km,Countryman,Tak,5,,144900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-all4-dostepny-od-reki-bogate-wyposazenie-mini-m-cars-ID6EmXFr.html,Cooper All4,2021
Tak,MINI,1 598 cm3,Niebieski,Używane,"Centralny zamek,Poduszki boczne przednie,Nawigacja GPS,Czujnik deszczu,Światła Xenonowe,Podgrzewane przednie siedzenia,Isofix,Tempomat,Alufelgi,Elektrycznie ustawiane lusterka,Relingi dachowe,Bluetooth,Światła do jazdy dziennej,Komputer pokładowy,ESP (stabilizacja toru jazdy),Gniazdo USB,Czujnik zmierzchu,Czujniki parkowania tylne,Elektryczne szyby tylne,Łopatki zmiany biegów,Radio fabryczne,Wielofunkcyjna kierownica,ASR (kontrola trakcji),ABS,Klimatyzacja automatyczna,Wspomaganie kierownicy,Tapicerka skórzana,Światła przeciwmgielne",Tak,Benzyna,190 KM,32 415 km,Countryman,Tak,5,Polska,99000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/mini-countryman-cooper-s-all4-salon-polska-1-wlasciciel-serwis-aso-automat-ID6Emgjw.html,,2016
,,,,,,,,,,,,,,,,,,"https://carsmile.pl/oferta/volvo/xc-60/suv-leasing-wynajem-dlugoterminowy?code=149898-4&amp;finance_type=rent&amp;contract_period=36&amp;utm_source=otomoto&amp;utm_medium=native&amp;utm_campaign=listing&amp;utm_content=ad_block&amp;utm_campaign_id=2&amp;utm_term=volvo-xc-60-suv,,,,,,,,,,,,,,,,,&amp;utm_campaign_id=1-10",,
